get | время выполнения - 0.11702990531921387 секунд
get | время выполнения - 0.17904067039489746 секунд
get | время выполнения - 0.1931157112121582 секунд
get | время выполнения - 0.25699377059936523 секунд
get | время выполнения - 0.2240583896636963 секунд
get | время выполнения - 0.23220396041870117 секунд
get | время выполнения - 0.1140294075012207 секунд
get | время выполнения - 0.12903094291687012 секунд
get | время выполнения - 0.13303470611572266 секунд
get | время выполнения - 0.1271812915802002 секунд
get | время выполнения - 0.269071102142334 секунд
get | время выполнения - 0.19803524017333984 секунд
get | время выполнения - 0.14304113388061523 секунд
get | время выполнения - 0.2410597801208496 секунд
get | время выполнения - 0.158036470413208 секунд
get | время выполнения - 0.16013693809509277 секунд
get | время выполнения - 0.13450980186462402 секунд
get | время выполнения - 0.28850412368774414 секунд
get | время выполнения - 0.24006080627441406 секунд
get | время выполнения - 0.2640664577484131 секунд
get | время выполнения - 0.4341087341308594 секунд
get | время выполнения - 0.24022150039672852 секунд
get | время выполнения - 0.145035982131958 секунд
get | время выполнения - 0.08502459526062012 секунд
get | время выполнения - 0.7041678428649902 секунд
get | время выполнения - 5.387977838516235 секунд
get | время выполнения - 1.058223009109497 секунд
get | время выполнения - 0.8316407203674316 секунд
get | время выполнения - 0.08001995086669922 секунд
get | время выполнения - 0.5151536464691162 секунд
get | время выполнения - 0.6561939716339111 секунд
get | время выполнения - 0.9102323055267334 секунд
get | время выполнения - 0.6421644687652588 секунд
get | время выполнения - 0.701176643371582 секунд
get | время выполнения - 1.1752865314483643 секунд
get | время выполнения - 0.8712213039398193 секунд
get | время выполнения - 0.5721368789672852 секунд
get | время выполнения - 0.7151808738708496 секунд
get | время выполнения - 1.0702672004699707 секунд
get | время выполнения - 0.6132223606109619 секунд
get | время выполнения - 0.5811479091644287 секунд
get | время выполнения - 0.5826683044433594 секунд
get | время выполнения - 0.5461394786834717 секунд
get | время выполнения - 0.7621934413909912 секунд
get | время выполнения - 0.7375102043151855 секунд
get | время выполнения - 0.7490847110748291 секунд
get | время выполнения - 2.852712869644165 секунд
get | время выполнения - 1.4538743495941162 секунд
get | время выполнения - 0.6231539249420166 секунд
get | время выполнения - 0.6851696968078613 секунд
get | время выполнения - 0.5829930305480957 секунд
get | время выполнения - 0.5411396026611328 секунд
get | время выполнения - 0.5523321628570557 секунд
get | время выполнения - 0.6281294822692871 секунд
get | время выполнения - 1.0902705192565918 секунд
get | время выполнения - 0.5560851097106934 секунд
get | время выполнения - 0.6341736316680908 секунд
get | время выполнения - 0.09488463401794434 секунд
get | время выполнения - 0.5581376552581787 секунд
get | время выполнения - 0.6771767139434814 секунд
get | время выполнения - 0.1450366973876953 секунд
get | время выполнения - 0.08302021026611328 секунд
get | время выполнения - 0.08002138137817383 секунд
get | время выполнения - 0.09113955497741699 секунд
get | время выполнения - 0.5701444149017334 секунд
get | время выполнения - 0.14502739906311035 секунд
get | время выполнения - 0.08613753318786621 секунд
get | время выполнения - 0.8093578815460205 секунд
get | время выполнения - 0.5881428718566895 секунд
get | время выполнения - 0.08115625381469727 секунд
get | время выполнения - 0.6090073585510254 секунд
get | время выполнения - 0.08301973342895508 секунд
get | время выполнения - 0.6000027656555176 секунд
get | время выполнения - 0.5541198253631592 секунд
get | время выполнения - 0.09102272987365723 секунд
get | время выполнения - 0.0861515998840332 секунд
get | время выполнения - 1.1211192607879639 секунд
