Page;Keyword;Impressions;Clicks;Position;Ctr
https://appleiwatch.name/how-to-download-movies-on-macbook/;как скачать фильм на макбук;2494;1076;3.1828388131515637;0.4314354450681636
https://appleiwatch.name/en/body-temperature-sensor/;apple watch body temperature;11084;625;7.583904727535186;0.05638758570913028
https://appleiwatch.name/record-telephone-conversation-on-iphone-without-jailbreak/;запись телефонных разговоров iphone без jailbreak;1457;443;2.8366506520247086;0.3040494166094715
https://appleiwatch.name/how-to-download-movies-on-macbook/;как скачать фильмы на макбук;910;387;3.032967032967033;0.42527472527472526
https://appleiwatch.name/how-to-download-movies-on-macbook/;скачать фильм на макбук;872;380;2.340596330275229;0.43577981651376146
https://appleiwatch.name/how-to-check-authenticity-of-lg-tv/;как проверить телевизор lg на подлинность;903;377;1.895902547065338;0.4174972314507198
https://appleiwatch.name/how-to-download-movies-on-macbook/;скачать фильм на мак;761;316;2.449408672798949;0.4152431011826544
https://appleiwatch.name/en/body-temperature-sensor/;apple watch temperature sensor;4337;312;7.904542310352778;0.07193912842979018
https://appleiwatch.name/how-to-download-movies-on-macbook/;скачать фильмы на мак;803;309;2.9265255292652554;0.3848069738480697
https://appleiwatch.name/how-to-download-movies-on-macbook/;скачать фильмы на макбук;709;296;2.221438645980254;0.41748942172073344
https://appleiwatch.name/en/body-temperature-sensor/;can apple watch take temperature;5937;280;7.9604177193868955;0.0471618662624221
https://appleiwatch.name/how-to-install-google-chrome-on-android-tv/;скачать google chrome для android tv;6257;278;8.235735975707208;0.044430238133290716
https://appleiwatch.name/en/body-temperature-sensor/;apple watch thermometer;6208;274;8.928801546391753;0.04413659793814433
https://appleiwatch.name/es/verificar-apple-watch-antes-de-comprar/;como saber si un apple watch es original;1988;238;7.101609657947686;0.11971830985915492
https://appleiwatch.name/how-to-download-music-from-vkontakte-on-macos-and-windows/;как скачать музыку с вк на мак 2019;553;236;2.4936708860759493;0.4267631103074141
https://appleiwatch.name/en/body-temperature-sensor/;iwatch thermometer;1108;230;4.831227436823104;0.2075812274368231
https://appleiwatch.name/how-to-fix-pdp-authentication-error-on-iphone-ipad/;ошибка аутентификации pdp;3205;225;4.0480499219968795;0.07020280811232449
https://appleiwatch.name/retina-display/;ретина дисплей плюсы и минусы;445;210;1.6292134831460674;0.47191011235955055
https://appleiwatch.name/en/body-temperature-sensor/;can i watch take body temperature;920;205;4.353260869565217;0.22282608695652173
https://appleiwatch.name/problems-and-breakdowns-in-headphones-earpods/;не работает микрофон earpods;410;199;1.1317073170731708;0.4853658536585366
https://appleiwatch.name/problems-and-breakdowns-in-headphones-earpods/;не работает правый наушник earpods;2360;198;6.032203389830508;0.08389830508474576
https://appleiwatch.name/how-to-check-google-pixel-for-originality/;как проверить google pixel на оригинальность;312;193;1.5673076923076923;0.6185897435897436
https://appleiwatch.name/how-to-download-movies-on-macbook/;как скачать фильм на мак;633;182;3.448657187993681;0.28751974723538704
https://appleiwatch.name/en/body-temperature-sensor/;can apple watch take your temperature;4073;180;7.723299779032654;0.044193469187331205
https://appleiwatch.name/en/body-temperature-sensor/;iwatch temperature;1567;177;6.7275047862156985;0.11295469049138482
https://appleiwatch.name/en/body-temperature-sensor/;body temperature apple watch;2633;175;7.847702240789974;0.06646410938093429
https://appleiwatch.name/en/connecting-airpods-to-computer-or-laptop-on-windows/;how to connect airpods to laptop windows 7;3342;175;3.848294434470377;0.0523638539796529
https://appleiwatch.name/en/body-temperature-sensor/;apple watch 5 body temperature sensor;2451;174;7.062423500611995;0.07099143206854346
https://appleiwatch.name/how-to-check-apple-pencil-for-authenticity/;как проверить apple pencil на оригинальность;412;166;1.8980582524271845;0.4029126213592233
https://appleiwatch.name/how-to-check-authenticity-of-lg-tv/;как отличить телевизор lg от подделки;257;165;1.311284046692607;0.642023346303502
https://appleiwatch.name/problems-and-breakdowns-in-headphones-earpods/;не работает левый наушник earpods;1837;146;5.717474142623844;0.07947740881872618
https://appleiwatch.name/en/body-temperature-sensor/;can apple watch measure body temperature;2537;143;7.611351990540008;0.0563657863618447
https://appleiwatch.name/en/body-temperature-sensor/;can apple watch take body temperature;2495;141;7.342284569138276;0.05651302605210421
https://appleiwatch.name/problems-and-breakdowns-in-headphones-earpods/;earpods не работает микрофон;310;141;1.3483870967741935;0.45483870967741935
https://appleiwatch.name/tag/ble-utility/;ble utility apple watch;387;135;2.689922480620155;0.3488372093023256
https://appleiwatch.name/unlock-of-apple-id-and-cloud/;как отвязать apple watch от apple id бывшего хозяина;1886;131;8.018557794273594;0.06945917285259809
https://appleiwatch.name/en/body-temperature-sensor/;can apple watch measure temperature;2127;127;7.165961448048895;0.059708509637987774
https://appleiwatch.name/en/body-temperature-sensor/;can iwatch measure body temperature;602;122;4.9916943521594686;0.2026578073089701
https://appleiwatch.name/how-to-download-music-from-vkontakte-on-macos-and-windows/;скачать музыку с вк на мак;950;122;5.702105263157895;0.12842105263157894
https://appleiwatch.name/can-iwatch-charge-iphone-x-8-plus/;можно ли заряжать iphone зарядкой от apple watch;672;121;5.754464285714286;0.1800595238095238
https://appleiwatch.name/en/body-temperature-sensor/;iwatch temperature sensor;701;121;5.326676176890157;0.17261055634807418
https://appleiwatch.name/why-can-not-call-iwatch/;сбой вызова на apple watch;594;120;5.570707070707071;0.20202020202020202
https://appleiwatch.name/en/body-temperature-sensor/;apple watch body temperature sensor;1685;118;7.833827893175074;0.07002967359050445
https://appleiwatch.name/es/verificar-apple-watch-antes-de-comprar/;como saber si un apple watch es robado;1184;118;6.576013513513513;0.09966216216216216
https://appleiwatch.name/problems-and-breakdowns-in-headphones-earpods/;не работает один наушник earpods;2094;118;6.643266475644699;0.05635148042024833
https://appleiwatch.name/how-to-install-google-chrome-on-android-tv/;google chrome для android tv;2296;116;7.893728222996516;0.050522648083623695
https://appleiwatch.name/en/body-temperature-sensor/;apple watch 4 body temperature sensor;1576;113;6.564720812182741;0.0717005076142132
https://appleiwatch.name/how-to-download-movies-on-macbook/;как скачивать фильмы на макбук;286;113;3.534965034965035;0.3951048951048951
https://appleiwatch.name/how-to-find-a-disabled-or-discharged-iphone/;как найти выключенный айфон;5846;111;8.479302086897023;0.0189873417721519
https://appleiwatch.name/installing-photoshop-on-macbook/;как установить photoshop на macbook;389;109;2.640102827763496;0.2802056555269923
https://appleiwatch.name/installing-photoshop-on-macbook/;как установить фотошоп на мак;1163;106;5.8357695614789336;0.09114359415305245
https://appleiwatch.name/how-to-download-music-from-vkontakte-on-macos-and-windows/;как скачать музыку с вк на мак;799;103;5.854818523153942;0.12891113892365458
https://appleiwatch.name/how-to-combine-multiple-screenshots-in-ios-or-android/;как объединить скриншоты в один;272;102;2.297794117647059;0.375
